display_group	accession	gene_symbol	log2fc	fdr	p_value	t_stat	neglog10_fdr	plot_class
GSE87466 validation	GSE87466	RNF26	-0.22888	0.00145437	0.000253581	-4.15823	2.837325092434011	not_significant
GSE87466 validation	GSE87466	WDR4	0.38947	0.00145438	0.00025361	4.00507	2.8373221063095118	not_significant
GSE87466 validation	GSE87466	LOC100288438	-0.335796	0.00145513	0.000253766	-4.13238	2.837098205468035	not_significant
GSE87466 validation	GSE87466	HSD17B3	-0.789631	0.00145738	0.000254229	-4.32351	2.836427194705035	not_significant
GSE87466 validation	GSE87466	ARL10	-0.400056	0.00145738	0.000254215	-4.28743	2.836427194705035	not_significant
GSE87466 validation	GSE87466	RGS6	-0.289048	0.00145738	0.000254239	-4.17735	2.836427194705035	not_significant
GSE87466 validation	GSE87466	GNG13	-0.400511	0.00145782	0.000254342	-4.20368	2.8362960959306873	not_significant
GSE87466 validation	GSE87466	SMIM20	-0.431565	0.00145785	0.000254374	-4.18894	2.836287158818835	not_significant
GSE87466 validation	GSE87466	FIGN	0.527669	0.00146	0.000254777	4.07834	2.835647144215563	not_significant
GSE87466 validation	GSE87466	C9orf173-AS1	-0.328546	0.00146236	0.000255218	-4.20343	2.8349457007246173	not_significant
GSE87466 validation	GSE87466	ITGA10	0.286414	0.00146251	0.000255294	3.91246	2.834901155721015	not_significant
GSE87466 validation	GSE87466	TERT	-0.273282	0.00146308	0.000255434	-4.19358	2.8347319263636432	not_significant
GSE87466 validation	GSE87466	FANK1	-0.513604	0.00146539	0.000255905	-4.01113	2.8340467764653887	not_significant
GSE87466 validation	GSE87466	HK3	0.294164	0.00146565	0.000256057	3.93102	2.8339697276597833	not_significant
GSE87466 validation	GSE87466	MRC1	0.544429	0.0014666	0.000256249	4.15347	2.8336883193404083	not_significant
GSE87466 validation	GSE87466	TSPAN17	-0.247658	0.00146705	0.000256382	-4.24277	2.8335550842793826	not_significant
GSE87466 validation	GSE87466	FAM53B	-0.212875	0.00147869	0.000258578	-4.08816	2.8301228641375187	not_significant
GSE87466 validation	GSE87466	FAM160A1	-0.673644	0.00147997	0.00025891	-3.94013	2.8297470879607913	not_significant
GSE87466 validation	GSE87466	ITGA6	0.308575	0.00148238	0.00025944	4.2027	2.8290404530713986	not_significant
GSE87466 validation	GSE87466	SPAG6	-0.16396	0.00148238	0.000259422	-4.22295	2.8290404530713986	not_significant
GSE87466 validation	GSE87466	TMX3	0.168877	0.00148256	0.000259499	3.97999	2.8289877214769388	not_significant
GSE87466 validation	GSE87466	PNPO	-0.547951	0.00148305	0.000259633	-4.14894	2.8288442067881774	not_significant
GSE87466 validation	GSE87466	VN1R1	-0.174519	0.00148305	0.000259639	-4.16806	2.8288442067881774	not_significant
GSE87466 validation	GSE87466	RGL2	0.418939	0.00148348	0.000259769	4.13073	2.828718304384678	not_significant
GSE87466 validation	GSE87466	MAD2L1BP	-0.460442	0.00148405	0.000259923	-4.24604	2.8285514667400853	not_significant
GSE87466 validation	GSE87466	CLCNKB	-0.254759	0.00148749	0.000260606	-4.18457	2.827545945235996	not_significant
GSE87466 validation	GSE87466	ADRA2B	-0.196703	0.00148841	0.000260822	-3.98045	2.827277420798965	not_significant
GSE87466 validation	GSE87466	ZNF532	0.767823	0.00148842	0.000260851	4.19412	2.8272745029670303	not_significant
GSE87466 validation	GSE87466	CSNK1A1P1	-0.228237	0.00148853	0.000260897	-4.19179	2.8272424081095213	not_significant
GSE87466 validation	GSE87466	SSC4D	-0.194372	0.00148885	0.000260981	-4.08374	2.8271490547352496	not_significant
GSE87466 validation	GSE87466	LOC285181	-0.305798	0.00148952	0.00026118	-4.19363	2.8269536610751045	not_significant
GSE87466 validation	GSE87466	BEND3	-0.401112	0.00148969	0.000261237	-4.05518	2.8269040975585993	not_significant
GSE87466 validation	GSE87466	GTF2E2	0.373743	0.00149102	0.000261497	4.2785	2.8265165310397062	not_significant
GSE87466 validation	GSE87466	PCMTD1	0.423284	0.00149188	0.000261676	4.17549	2.8262661081192024	not_significant
GSE87466 validation	GSE87466	CRYBB2	-0.34575	0.00149237	0.000261871	-4.1433	2.826123489841213	not_significant
GSE87466 validation	GSE87466	TMPRSS11D	-0.221542	0.00149291	0.000261992	-4.08172	2.825966372905592	not_significant
GSE87466 validation	GSE87466	PLA2G4F	-0.366869	0.00149353	0.000262128	-4.14745	2.8257860494551634	not_significant
GSE87466 validation	GSE87466	LINC01126	-0.212699	0.00149567	0.000262559	-4.07033	2.825164217292677	not_significant
GSE87466 validation	GSE87466	MSLN	0.437844	0.00149613	0.000262667	3.84918	2.825030668617465	not_significant
GSE87466 validation	GSE87466	TTC28	-0.229096	0.00149818	0.000263054	-4.16071	2.824436004853858	not_significant
GSE87466 validation	GSE87466	KIAA0391	-0.334554	0.00149909	0.000263296	-4.1451	2.82417229288218	not_significant
GSE87466 validation	GSE87466	ZNF641	0.425209	0.00149985	0.000263458	4.09209	2.8239521725641263	not_significant
GSE87466 validation	GSE87466	HMCN1	0.519858	0.00150165	0.000263829	3.88283	2.8234312795698635	not_significant
GSE87466 validation	GSE87466	DDX50	0.379724	0.00150352	0.000264185	4.09983	2.8228907904887266	not_significant
GSE87466 validation	GSE87466	CDK17	0.123312	0.00150502	0.000264476	3.89344	2.822457728753244	not_significant
GSE87466 validation	GSE87466	PPP2R5E	-0.312473	0.00150536	0.000264562	-4.14959	2.822359628098526	not_significant
GSE87466 validation	GSE87466	HELQ	0.395556	0.00150568	0.000264658	4.09589	2.822267318308731	not_significant
GSE87466 validation	GSE87466	CROCCP2	-0.199984	0.00150568	0.000264673	-4.12707	2.822267318308731	not_significant
GSE87466 validation	GSE87466	TMEM220	-1.01294	0.00150784	0.000265129	-4.2084	2.821644739901049	down
GSE87466 validation	GSE87466	FAM120AOS	-0.4678	0.00150784	0.000265136	-4.18744	2.821644739901049	not_significant
GSE87466 validation	GSE87466	TTC30B	-0.407947	0.0015081	0.000265209	-4.19056	2.821569860052262	not_significant
GSE87466 validation	GSE87466	GLIPR1L1	-0.155807	0.00150961	0.000265557	-4.14289	2.8211352359681685	not_significant
GSE87466 validation	GSE87466	ZNRF2	-0.609253	0.00151132	0.000265887	-4.1499	2.8206435703927513	not_significant
GSE87466 validation	GSE87466	GBAS	-0.38925	0.00151222	0.0002661	-4.24	2.8203850224355507	not_significant
GSE87466 validation	GSE87466	FOXP1	-0.246879	0.00151244	0.000266167	-4.14872	2.8203218452280714	not_significant
GSE87466 validation	GSE87466	GRIA2	-0.175572	0.00151382	0.000266465	-4.11527	2.8199257613314015	not_significant
GSE87466 validation	GSE87466	KAZALD1	-0.409367	0.00151516	0.000266755	-3.95525	2.81954150349958	not_significant
GSE87466 validation	GSE87466	IDH1	-0.383438	0.00151549	0.000266842	-4.09378	2.8194469249902867	not_significant
GSE87466 validation	GSE87466	KDM4A	-0.41258	0.00151563	0.000266893	-4.26487	2.8194068069959415	not_significant
GSE87466 validation	GSE87466	LOC100132249	-0.245649	0.00151764	0.000267331	-4.11492	2.8188312353940757	not_significant
GSE87466 validation	GSE87466	ABCA13	0.191881	0.00151793	0.000267409	3.78379	2.8187482556570678	not_significant
GSE87466 validation	GSE87466	UBE2W	-0.162771	0.00151952	0.000267774	-4.12866	2.818293579340224	not_significant
GSE87466 validation	GSE87466	RNF32	-0.241565	0.00152086	0.000268038	-4.20845	2.8179107622953605	not_significant
